summary_type,region,metric,mean,median,std,valid_case_count
region_stat,gt_foreground,raw_attention_voxel_count,597931.75,271196.0,467352.2710386005,8
region_stat,gt_foreground,raw_attention_mean,0.0004773043765453622,0.00041631168278399855,0.00013061998356049987,8
region_stat,gt_foreground,raw_attention_std,0.0005241524740995374,0.00034975504968315363,0.00038640774040968936,8
region_stat,gt_foreground,raw_attention_min,6.290201099545811e-05,5.402946590038482e-05,2.108199863533546e-05,8
region_stat,gt_foreground,raw_attention_p05,0.0001202217035825015,0.00011777363761211745,2.338861082658956e-05,8
region_stat,gt_foreground,raw_attention_p25,0.00019069260633841623,0.00019127265841234475,1.4440612064178385e-05,8
region_stat,gt_foreground,raw_attention_median,0.00030699732815264724,0.0002993273810716346,3.489941580654804e-05,8
region_stat,gt_foreground,raw_attention_p75,0.0005632085521938279,0.0005238425510469824,0.00010921283600249844,8
region_stat,gt_foreground,raw_attention_p95,0.0013777121130260639,0.001160247775260359,0.00047244899895255494,8
region_stat,gt_foreground,raw_attention_max,0.007063485390972346,0.003543536993674934,0.007196796099866917,8
region_stat,gt_foreground,rank_attention_voxel_count,597931.75,271196.0,467352.2710386005,8
region_stat,gt_foreground,rank_attention_mean,0.41728558763861656,0.39434079825878143,0.06150527086202405,8
region_stat,gt_foreground,rank_attention_std,0.30088502913713455,0.29268838465213776,0.0253936958029681,8
region_stat,gt_foreground,rank_attention_min,0.008477629972730938,0.002016548067331314,0.01009141758716871,8
region_stat,gt_foreground,rank_attention_p05,0.05945517332293093,0.0506083182990551,0.031209468092071774,8
region_stat,gt_foreground,rank_attention_p25,0.1718165408819914,0.17151319235563278,0.03916103046661075,8
region_stat,gt_foreground,rank_attention_median,0.3277790695428848,0.31061238050460815,0.06804113727868093,8
region_stat,gt_foreground,rank_attention_p75,0.6437696442008018,0.6596357226371765,0.1802742127774564,8
region_stat,gt_foreground,rank_attention_p95,0.9601923823356628,0.9792540073394775,0.03823855676135922,8
region_stat,gt_foreground,rank_attention_max,0.998627096414566,0.999613344669342,0.0019398826549439027,8
region_stat,gt_foreground,residual_voxel_count,597931.75,271196.0,467352.2710386005,8
region_stat,gt_foreground,residual_mean,-0.5378655940294266,-0.5379338264465332,0.0665840252839821,8
region_stat,gt_foreground,residual_std,0.31504231318831444,0.29993827641010284,0.051772646334390944,8
region_stat,gt_foreground,residual_min,-0.9701189920306206,-0.9839134514331818,0.029075129291700738,8
region_stat,gt_foreground,residual_p05,-0.8993191942572594,-0.9090175330638885,0.0309494712435801,8
region_stat,gt_foreground,residual_p25,-0.7901094406843185,-0.7954361438751221,0.037988548162630746,8
region_stat,gt_foreground,residual_median,-0.6373817920684814,-0.6540476381778717,0.0676640410747144,8
region_stat,gt_foreground,residual_p75,-0.31966549903154373,-0.30855685472488403,0.1860498429968642,8
region_stat,gt_foreground,residual_p95,0.05041088780853897,0.013553179800510406,0.14449992633015085,8
region_stat,gt_foreground,residual_max,0.38231615722179413,0.31246188282966614,0.3041526416751656,8
region_stat,gt_background_valid,probability_voxel_count,7937987.875,5106835.5,4703510.092541724,8
region_stat,gt_background_valid,probability_mean,0.010282009840011597,0.010050255339592695,0.00595233143616494,8
region_stat,gt_background_valid,probability_std,0.08614389691501856,0.0902530774474144,0.02688833883878109,8
region_stat,gt_background_valid,probability_min,1.0719438686594483e-16,4.354200011504457e-37,2.2172322080928754e-16,8
region_stat,gt_background_valid,probability_p05,3.545707235257956e-10,1.038517665800797e-19,8.267866463645235e-10,8
region_stat,gt_background_valid,probability_p25,1.086454806102332e-08,6.409335191856495e-17,2.004957642555482e-08,8
region_stat,gt_background_valid,probability_median,1.1703905739149483e-07,2.5997022756740762e-08,1.4041049925498085e-07,8
region_stat,gt_background_valid,probability_p75,2.7702701164145083e-06,1.708535876332462e-06,2.776915118853486e-06,8
region_stat,gt_background_valid,probability_p95,0.0017642564376956216,0.00035998720704810694,0.002768853844518694,8
region_stat,gt_background_valid,probability_max,0.9999315515160561,0.9999414086341858,6.465038023343954e-05,8
region_stat,gt_background_valid,raw_attention_voxel_count,7937987.875,5106835.5,4703510.092541724,8
region_stat,gt_background_valid,raw_attention_mean,0.0005209745977481361,0.00047922202793415636,0.00014242190760665565,8
region_stat,gt_background_valid,raw_attention_std,0.0005014026028220542,0.00033405829162802547,0.0003336572149141426,8
region_stat,gt_background_valid,raw_attention_min,3.852793656733411e-05,3.747648952412419e-05,9.768846677028852e-06,8
